2015,10,01,本日付で谷口隆晴講師が准教授に昇進しました。
2015,09,28,9/26-27の日程で、荒神山自然の家にて名古屋大学の張研究室のみなさんと合同の研究会を行いました。
2015,07,05,2015年度システム情報学研究科フットサル大会で、（下位リーグ）優勝を果たしました！
2015,05,31,トップページに「研究発表などの業績」の欄を追加しました。アーカイブにも同様に追加しています。
2015,04,01,年度が変わったため、メンバーのページを更新しました。
2015,03,18,研究室の統合に伴い、ページを一新しました。
